word,stress_rule,pair_partner,corpus_weight,detail
más,pair,mas,91,"diacritic: same spelling, different word"
Jesús,vowel-n-s,,73,ends in vowel/n/s but stressed on the LAST syllable → tilde
tú,pair,tu,62,"diacritic: same spelling, different word"
él,pair,el,53,"diacritic: same spelling, different word"
aquí,vowel-n-s,,49,ends in vowel/n/s but stressed on the LAST syllable → tilde
amén,vowel-n-s,,48,ends in vowel/n/s but stressed on the LAST syllable → tilde
mí,pair,mi,44,"diacritic: same spelling, different word"
corazón,vowel-n-s,,31,ends in vowel/n/s but stressed on the LAST syllable → tilde
día,exception,,31,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
así,vowel-n-s,,25,ends in vowel/n/s but stressed on the LAST syllable → tilde
está,vowel-n-s,,25,ends in vowel/n/s but stressed on the LAST syllable → tilde
sé,pair,se,22,"diacritic: same spelling, different word"
jóvenes,exception,,19,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
estás,vowel-n-s,,19,ends in vowel/n/s but stressed on the LAST syllable → tilde
después,vowel-n-s,,19,ends in vowel/n/s but stressed on the LAST syllable → tilde
Filemón,vowel-n-s,,19,ends in vowel/n/s but stressed on the LAST syllable → tilde
esté,vowel-n-s,,18,ends in vowel/n/s but stressed on the LAST syllable → tilde
sabiduría,exception,,18,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
están,vowel-n-s,,16,ends in vowel/n/s but stressed on the LAST syllable → tilde
qué,pair,que,16,"diacritic: same spelling, different word"
propósito,exception,,16,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
atención,vowel-n-s,,16,ends in vowel/n/s but stressed on the LAST syllable → tilde
versículo,exception,,16,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
sermón,vowel-n-s,,15,ends in vowel/n/s but stressed on the LAST syllable → tilde
demás,vowel-n-s,,12,ends in vowel/n/s but stressed on the LAST syllable → tilde
acércate,exception,,12,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
déjenme,exception,,12,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
versículos,exception,,12,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
división,vowel-n-s,,10,ends in vowel/n/s but stressed on the LAST syllable → tilde
sí,pair,si,10,"diacritic: same spelling, different word"
también,vowel-n-s,,10,ends in vowel/n/s but stressed on the LAST syllable → tilde
razón,vowel-n-s,,10,ends in vowel/n/s but stressed on the LAST syllable → tilde
ningún,vowel-n-s,,10,ends in vowel/n/s but stressed on the LAST syllable → tilde
relación,vowel-n-s,,10,ends in vowel/n/s but stressed on the LAST syllable → tilde
días,exception,,10,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
nomás,vowel-n-s,,9,ends in vowel/n/s but stressed on the LAST syllable → tilde
líderes,exception,,9,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
teléfono,exception,,9,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
últimos,exception,,9,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
permítanme,exception,,9,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
