border_form,standard_mexican,context_from_my_sermon,register,note
parquear,estacionar,Voy a parquear la troca en la yarda.,replace in the pulpit; common in conversation,DRAFT — review
la troca,la camioneta,Voy a parquear la troca en la yarda.,replace in the pulpit; common in conversation,DRAFT — review
la yarda,el patio,Voy a parquear la troca en la yarda.,replace always,DRAFT — review
aplicar por,solicitar,Apliqué por el trabajo ayer.,replace always — 'aplicar' means to apply a substance,from your diagnostic: you could not replace this one
el raite,el aventón / llevar a alguien,¿Me das un raite al culto?,replace in the pulpit; 'aventón' is the Mexican word,from your diagnostic: you could not replace this one
llamar pa' atrás,devolver la llamada,Te llamo pa' atrás.,replace always — calque of 'call back',DRAFT — review
wachar,cuidar / echar un ojo,¿Me wachas a los niños un ratito?,replace always,DRAFT — review
lonchar,almorzar / comer,Vamos a lonchar después del servicio.,replace in the pulpit,DRAFT — review
el lonche,el almuerzo / la comida,,replace in the pulpit,DRAFT — review
la marketa,el mercado / la tienda,,replace always,DRAFT — review
puchar,empujar,,replace always,DRAFT — review
la carpeta,la alfombra,,replace always — 'carpeta' means folder,DRAFT — review
los biles,las cuentas / los recibos,,replace always,DRAFT — review
cuitear,renunciar / dejar el trabajo,,replace always,DRAFT — review
mopear,trapear,,replace always — 'trapear' is the Mexican word,DRAFT — review
chequear,revisar,,replace in the pulpit; 'checar' is accepted Mexican,DRAFT — review
textear,mandar un mensaje / escribir,,replace in the pulpit,DRAFT — review
printear,imprimir,,replace always,DRAFT — review
las brekas,los frenos,,replace always,DRAFT — review
la baika,la bicicleta,,replace always,DRAFT — review
el dompe,el basurero / el tiradero,,replace always,DRAFT — review
sainear,firmar,,replace always,DRAFT — review
taipear,escribir a máquina / teclear,,replace always,DRAFT — review
espelear,deletrear,,replace always,DRAFT — review
la ganga,la pandilla,,replace always — 'ganga' means a bargain in Mexico,DRAFT — review
el mofle,el silenciador / el escape,,replace in the pulpit; 'mofle' is heard in Mexico,DRAFT — review
la factoría,la fábrica,,replace always,DRAFT — review
el rufo,el techo,,replace always,DRAFT — review
las grocerías,el mandado / la despensa,,replace always — 'groserías' means rude words,DRAFT — review
el sóquet,el enchufe / el contacto,,replace in the pulpit,DRAFT — review
la aseguranza,el seguro,,replace always,DRAFT — review
el traque,la vía del tren,,replace always,DRAFT — review
mistear,extrañar / perderse (algo),,replace always — calque of 'to miss',DRAFT — review
atender (la escuela),asistir a,,replace always — 'atender' means to pay attention or serve,DRAFT — review
realizar (darse cuenta),darse cuenta de,,replace always — 'realizar' means to carry out,DRAFT — review
soportar (apoyar),apoyar,,replace always — 'soportar' means to endure,DRAFT — review
la aplicación (formulario),la solicitud,,replace always in the job/forms sense,DRAFT — review
