english,spanish_tu,spanish_usted,spanish_ustedes,spanish_negative_tu,verb_infinitive,yo_form_stem,note
Say this with me,Di esto conmigo,Diga esto conmigo,Digan esto conmigo,No digas esto,decir,dig- (digo),tú affirmative is irregular: di
Write this down,Anota esto,Anote esto,Anoten esto,No anotes esto,anotar,anot-,
Repeat after me,Repite después de mí,Repita después de mí,Repitan después de mí,No repitas,repetir,repit- (repito),e→i stem change carries into every form
Raise your hand,Levanta la mano,Levante la mano,Levanten la mano,No levantes la mano,levantar,levant-,your diagnostic: 'levantan' is indicative (they raise); command is 'levanten'
Stand up / Let us all stand,Ponte de pie,Póngase de pie,Pónganse de pie,No te pongas de pie,ponerse,pong- (pongo),affirmative attaches the pronoun and takes a written accent
Sit down / You may be seated,Siéntate,Siéntese,Siéntense,No te sientes,sentarse,sient- (siento),'You may be seated' in a service = 'Pueden sentarse' / 'Tomen asiento'
"Hear me, church","Óyeme, iglesia","Óigame, iglesia","Óiganme, iglesia",No me oigas,oír,oig- (oigo),
Listen,Escucha,Escuche,Escuchen,No escuches,escuchar,escuch-,
Look at this,Mira esto,Mire esto,Miren esto,No mires esto,mirar,mir-,
Pray with me,Ora conmigo,Ore conmigo,Oren conmigo,No ores,orar,or-,"orar, never rezar"
Give them a round of applause,Dales un aplauso,Deles un aplauso,Denles un aplauso,No les des un aplauso,dar,d- (doy → irregular: dé/den),usted form 'dé' carries an accent to distinguish it from 'de'
Chew on that for a second,Rumia eso un momento,Rumie eso un momento,Rumien eso un momento,No lo rumies,rumiar,rumi-,FLAG idiom: 'chew on' ≈ 'rumiar' (used for meditating on Scripture); 'mastica eso' sounds literal/odd. Alternative: 'Piensen en eso un segundo'
Think about that,Piensa en eso,Piense en eso,Piensen en eso,No pienses en eso,pensar,piens- (pienso),
Keep in mind,Ten en cuenta,Tenga en cuenta,Tengan en cuenta,No tengas en cuenta,tener,teng- (tengo),tú affirmative irregular: ten
Remember,Recuerda,Recuerde,Recuerden,No recuerdes,recordar,recuerd- (recuerdo),
Don't forget about each other,No te olvides de los demás,No se olvide de los demás,No se olviden unos de otros,No te olvides,olvidarse,olvid-,negative → pronoun stays in front
Don't get me wrong,No me malinterpretes,No me malinterprete,No me malinterpreten,No me malinterpretes,malinterpretar,malinterpret-,your own phrase from Mejor Perdón
Let me clarify,Permíteme aclarar,Permítame aclarar,Permítanme aclarar,No me permitas,permitir,permit-,the command is 'permitir'; 'aclarar' stays infinitive
Let me pause here,Permíteme hacer una pausa aquí,Permítame hacer una pausa aquí,Permítanme hacer una pausa aquí,No me permitas,permitir,permit-,
Turn to Matthew 18 / Open your Bible to,Abre tu Biblia en Mateo 18,Abra su Biblia en Mateo 18,Abran su Biblia en Mateo 18,No abras,abrir,abr-,"'turn to' for a Bible passage = 'vayan a' or 'abran en', not 'voltear'"
